,Code,Country,Landarea,EPI,HLT,ECO,BDH,CCH
154,NOR,Norway,325602.24,69.92,100.00,57.03,63.74,56.30
155,NPL,Nepal,147607.73,57.97,37.93,66.56,62.18,88.65
157,NZL,New Zealand,269798.3,66.05,95.03,53.62,74.43,44.57
158,OMN,Oman,314382.71,44.00,73.85,31.21,59.69,11.87
159,PAK,Pakistan,797494.67,39.56,28.62,44.25,60.05,56.73
160,PAN,Panama,75796.79,57.94,57.09,58.31,84.81,58.62
162,PER,Peru,1293936.3,50.29,45.70,52.25,74.04,67.30
163,PHL,Philippines,297386.59,57.40,52.56,59.48,66.04,64.66
166,POL,Poland,311370.35,63.47,89.22,52.43,98.81,25.91
169,PRT,Portugal,92013.56,57.64,93.05,42.46,66.16,43.23
170,PRY,Paraguay,401294.15,52.40,52.18,52.50,21.29,89.49
173,QAT,Qatar,11314.8,46.59,89.90,28.03,40.19,3.66
175,ROU,Romania,237127.99,48.34,60.67,43.05,45.33,41.82
176,RUS,Russia,16826303.43,45.43,60.93,38.79,62.75,17.92
178,SAU,Saudi Arabia,1960597.02,49.97,71.29,40.84,98.95,6.68
179,SDN,Sudan,2510435.52,46.00,25.02,54.99,29.05,68.17
180,SEN,Senegal,197362.9,46.73,22.54,57.10,90.05,65.66
181,SGP,Singapore,671.15,56.36,100.00,37.65,34.06,28.26
186,SLV,El Salvador,20463.38,52.08,59.43,48.94,39.13,67.44
190,SRB,Serbia,92633.31,46.14,72.69,34.76,35.00,20.11
193,SVK,Slovakia,48985.49,66.62,94.39,54.72,84.47,36.18
194,SVN,Slovenia,20265.26,62.25,88.05,51.20,76.88,35.20
195,SWE,Sweden,443016.37,68.82,100.00,55.45,52.14,57.85
198,SYR,Syria,186912.01,42.75,74.95,28.95,5.74,33.63
201,TGO,Togo,57362.93,48.66,22.71,59.78,53.01,75.16
202,THA,Thailand,516845.15,59.98,71.37,55.09,78.91,39.19
203,TJK,Tajikistan,142132.02,38.78,40.74,37.94,24.35,73.55
205,TKM,Turkmenistan,479839.97,31.75,59.92,19.67,17.88,14.42
208,TTO,Trinidad and Tobago,5188.19,47.04,67.63,38.22,69.76,0.38
209,TUN,Tunisia,155220.7,46.66,70.14,36.60,25.66,50.41
210,TUR,Turkey,781946.7,44.80,69.80,34.08,20.19,42.71
212,TWN,Taiwan,36384.86,62.23,95.03,48.17,72.65,23.73
213,TZA,Tanzania,897949.26,54.26,27.47,65.74,92.08,69.35
215,UKR,Ukraine,597329.12,46.31,72.01,35.30,46.42,25.14
216,URY,Uruguay,176850.8,57.06,80.34,47.07,20.26,62.10
217,USA,United States of America,9325028.98,56.59,94.47,40.36,71.76,17.73
218,UZB,Uzbekistan,422374.38,32.24,52.74,23.45,12.88,24.08
221,VEN,Venezuela,917025.5,55.62,71.03,49.02,88.14,37.33
224,VNM,Viet Nam,328767.09,50.64,51.57,50.24,54.12,56.52
228,YEM,Yemen,417489.1,35.49,33.70,36.26,35.52,39.86
229,ZAF,South Africa,1224041.62,34.55,42.52,31.13,50.24,21.03
230,ZMB,Zambia,753777.74,55.56,23.06,69.48,100.00,86.59
231,ZWE,Zimbabwe,392742.92,52.76,32.33,61.52,99.46,57.31
